# Since moving to image recognition instead of text recognition for recognising which character is being played (as to make the recognition more reliable and language-indipendent), I need a screenshot for all the characters in order to tell the program what to look for for each character.
# As I don't have some of the DLC characters, some reference closeups are missing, which means those characters are not supported. The characters not supported are commented out of this list with an '#'. The '#' is not a .tsv convention for comments line but I chose it to be this way.
# If you wish for an unsupported character to be supported, you can send me a screenshots of the the second result screen (the one with the "Out at" time) with the character you want to add, both of matches with 3 and 4 players (CPU is ok) and possibly where the wanted character doesn't win, and I'll do the rest. More info in the README.
Mario	mario
Donkey Kong	donkey_kong
Link	link
Samus	samus
Dark Samus	dark_samus
Yoshi	yoshi
Kirby	kirby
Fox	fox
Pikachu	pikachu
Luigi	luigi
Ness	ness
Captain Falcon	captain_falcon
Jigglypuff	jigglypuff
Peach	peach
Daisy	daisy
Bowser	bowser
Ice Climbers	ice_climbers
Sheik	sheik
Zelda	zelda
Dr. Mario	dr_mario
Pichu	pichu
Falco	falco
Marth	marth
Lucina	lucina
Young Link	young_link
Ganondorf	ganondorf
Mewtwo	mewtwo
Roy	roy
Chrom	chrom
Mr. Game & Watch	mr_game_and_watch
Meta Knight	meta_knight
Pit	pit
Dark Pit	dark_pit
Zero Suit Samus	zero_suit_samus
Wario	wario
Snake	snake
Ike	ike
Pokémon Trainer	pokemon_trainer
Diddy Kong	diddy_kong
Lucas	lucas
Sonic	sonic
King Dedede	king_dedede
Olimar	olimar
Lucario	lucario
R.O.B.	rob
Toon Link	toon_link
Wolf	wolf
Villager	villager
Mega Man	mega_man
Wii Fit Trainer	wii_fit_trainer
Rosalina & Luma	rosalina_and_luma
Little Mac	little_mac
Greninja	greninja
Palutena	palutena
Pac-Man	pac_man
Robin	robin
Shulk	shulk
Bowser Jr.	bowser_jr
Duck Hunt	duck_hunt
Ryu	ryu
Ken	ken
Cloud	cloud
Corrin	corrin
Bayonetta	bayonetta
Inkling	inkling
Ridley	ridley
Simon	simon
Richter	richter
King K. Rool	king_k_rool
Isabelle	isabelle
Incineroar	incineroar
Piranha Plant	piranha_plant
Joker	joker
Hero	dq_hero
Banjo & Kazooie	banjo_and_kazooie
Terry	terry
Byleth	byleth
Min Min	minmin
Steve	steve
# Sephiroth	sephiroth
